PMID,Title,Abstract,DOI
37628339,A Study of Maternal Patients Diagnosed with Inborn Errors of Metabolism Due to Positive Newborn Mass Screening in Their Newborns.,"There are reports of mothers being diagnosed with inborn errors of metabolism (IEM) via positive newborn screening (NBS) of their newborns. Mothers with IEM are often considered to have mild cases of little pathological significance. Based in Niigata Prefecture, this study aimed to investigate mothers newly diagnosed with IEM via positive NBS in their newborns using tandem mass spectrometry, and to clarify the disease frequency and severity. This was a single-institution, population-based, retrospective study. The subjects were mothers whose newborns had false-positive NBS, among 80,410 newborns who underwent NBS between April 2016 and May 2021. there were 3 new mothers were diagnosed with IEM (2 with primary systemic carnitine deficiency (PCD) and 1 with 3-methylcrotonyl-CoA carboxylase deficiency) out of 5 who underwent examination among 18 false positives. The opportunity for diagnosis was low C0 and high C5-OH acylcarnitine levels in their newborn. Two novel SLC22A5 variants (c.1063T > C/c.1266A > G) were identified in patients with PCD. None of the patients had any complications at the time of diagnosis, but two patients showed improvement in fatigue and headache after taking oral carnitine. New mothers with IEM cannot be considered as mild cases and need to be treated when necessary. The two novel SLC22A5 variants further expand the variant spectrum of PCD.",10.3390/children10081341
37487700,Newborn screening for primary carnitine deficiency: who will benefit? - a retrospective cohort study.,"Newborn screening (NBS) programmes identify a wide range of disease phenotypes, which raises the question whether early identification and treatment is beneficial for all. This study aims to answer this question for primary carnitine deficiency (PCD) taking into account that NBS for PCD identifies newborns with PCD and also until then undiagnosed mothers. We investigated clinical, genetic (variants in SLC22A5 gene) and functional (carnitine transport activity in fibroblasts) characteristics of all referred individuals through NBS (newborns and mothers) and clinically diagnosed patients with PCD (not through NBS). Disease phenotype in newborns was predicted using data from PCD mothers and cases published in literature with identical SLC22A5 variants. PCD was confirmed in 19/131 referred newborns, 37/82 referred mothers and 5 clinically diagnosed patients. Severe symptoms were observed in all clinically diagnosed patients, 1 newborn and none of the mothers identified by NBS. PCD was classified as severe in all 5 clinically diagnosed patients, 3/19 newborns and 1/37 mothers; as benign in 8/19 newborns and 36/37 mothers and as unknown in 8/19 newborns. Carnitine transport activity completely separated severe phenotype from benign phenotype (median (range): 4.0% (3.5-5.0)] vs 26% (9.5-42.5), respectively). The majority of mothers and a significant proportion of newborns with PCD identified through NBS are likely to remain asymptomatic without early treatment. Conversely, a small proportion of newborns with predicted severe PCD could greatly benefit from early treatment. Genetic variants and carnitine transport activity can be used to distinguish between these groups.",10.1136/jmg-2023-109206
37268964,A qualitative study on the perspectives of mothers who had been diagnosed with primary carnitine deficiency through newborn screening of their child.,"Primary carnitine deficiency is an inborn error of metabolism, which can lead to life-threating complications early in life. Low carnitine levels can be detected by newborn bloodspot screening (NBS). However, NBS can also identify, mostly asymptomatic, mothers with primary carnitine deficiency. To identify mothers' needs and areas for improving screening practice, this study explored the experiences with, and opinions on primary carnitine deficiency screening in NBS among women diagnosed through NBS of their newborn. Twelve Dutch women were interviewed, 3-11 years after diagnosis. Data were analysed using a thematic approach. Four main themes were derived: 1) psychological impact of primary carnitine deficiency diagnosis, 2) becoming a patient and ""patient-in-waiting"", 3) information issues and care provision, and 4) primary carnitine deficiency as part of the NBS panel. Mothers shared that they did not experience major psychological distress of the diagnosis. They did experience (recall) various emotions following the initial abnormal NBS result, including fear and anxiety as well as relief, and emotions regarding their own diagnosis, including uncertainty about health risks and treatment effectiveness. Some felt a patient-in-waiting. Many participants experienced a lack of information, especially shortly after receiving the abnormal NBS result. All shared the belief that screening for primary carnitine deficiency in NBS is beneficial for the newborn, and, given the information they received, also considered the knowledge beneficial for their own health. Psychological burden following diagnosis was experienced by women as limited, although the experienced lack of information amplified feelings of uncertainty and anxiety. Most mothers believed that benefits of knowing about primary carnitine deficiency outweighed the disadvantages. Mothers' perspectives should be incorporated in policy-making about primary carnitine deficiency in NBS.",10.1186/s13023-023-02735-0
37170672,Increased cytokine levels induced by high phenylalanine concentrations in late diagnosis PKU patients compared to early diagnosis: Anti-inflammatory effect of L-carnitine.,"Phenylketonuria (PKU) was the first genetic disease to have an effective therapy, which consists of phenylalanine intake restriction. However, there are patients who do not adhere to treatment and/or are not submitted to neonatal screening. PKU patients present L-carnitine (L-car) deficiency, compound that has demonstrated an antioxidant and anti-inflammatory role in metabolic diseases. This study evaluated the effect caused by exposure time to high Phe levels in PKU patients at early and late diagnosis, through pro- and anti-inflammatory cytokines, as well as the L-car effect in patients under treatment. It was observed that there was a decrease in phenylalanine levels in treated patients compared to patients at diagnosis, and an increase in L-car levels in the patients under treatment. Inverse correlation between Phe versus L-car and nitrate plus nitrite versus L-car in PKU patients was also showed. We found increased proinflammatory cytokines levels: interleukin (IL)-1β, interferons (IFN)-gamma, IL-2, tumor necrosis factor (TNF)-alpha, IL-8 and IL-6 in the patients at late diagnosis compared to controls, and IL-8 in the patients at early diagnosis and treatment compared to controls. Increased IL-2, TNF-alpha, IL-6 levels in the patients at late diagnosis compared to early diagnosis were shown, and reduced IL-6 levels in the treated patients compared to patients at late diagnosis. Moreover, it verified a negative correlation between IFN-gamma and L-car in treated patients. Otherwise, it was observed that there were increased IL-4 levels in the patients at late diagnosis compared to early diagnosis, and reduction in treated patients compared to late diagnosed patients. In urine, there was an increase in 8-isoprostane levels in the patients at diagnosis compared to controls and a decrease in oxidized guanine species in the treated patients compared to the diagnosed patients. Our results demonstrate for the first time in literature that time exposure to high Phe concentrations generates a proinflammatory status, especially in PKU patients with late diagnosis. A pro-oxidant status was verified in not treated PKU patients. Our results demonstrate the importance of early diagnosis and prompt start of treatment, in addition to the importance of L-car supplementation, which can improve cellular defense against inflammation and oxidative damage in PKU patients.",10.1002/cbf.3800
36755623,A Retrospective Analysis of Clinically Focused Exome Sequencing Results of 372 Infants with Suspected Monogenic Disorders in China.,"The context was designed to optimize the diagnostic utility of clinically focused exome sequencing (CFES) and shorten the diagnostic odyssey among pediatric patients suspected of monogenic disorders (MDs). Here, we retrospectively analyzed the clinical notes of 372 patients from different areas in the Jiangxi province that were referred for a diagnostic CFES and analysis from June 2018 to March 2022 with symptoms suggestive of MDs. In our study, preliminary tests using the proband-only clinical exome sequencing as a cost-effective first-tier diagnostic test for pediatric patients with unidentified MDs, supplemented by family segregation studies for targeted variants when indicated. Probands with confirmed diagnostic (CD) or likely diagnostic (LD) genetic influences accounted for 12% of all cases, whereas those with an uncertain diagnosis accounted for 48%. We also found that systemic primary carnitine deficiency (CDSP) (SLC22A5 gene) and phenylketonuria (PAH gene) were relatively more prevalent, and these patients with CDSP had the most frequent c.1400C > G variant (p.S467C) and c.51C > G variant (p. F17L) in this study. In addition, statistical analysis revealed that the estimates of diagnostic yields varied across certain phenotypic features of patients, and patients with specific phenotypic traits tended to benefit more from CFES. The CFES may be a first-line genetic test for diagnosing young children with suspected genetic conditions, as it validates the identification of molecular genetics alterations and facilitates comprehensive medical management. Moreover, we found that infants exhibiting metabolism/homeostasis abnormalities, craniofacial /otolaryngology/ ophthalmologic abnormalities, and/or the integument were significantly more likely to receive a genetic diagnosis via CFES than infants without such features. However, due to the current study's low diagnostic yield and inherent limitations, high-quality clinical studies with larger sample sizes are still needed to provide more likely results and confirm our findings.",10.2147/PGPM.S387767
36709933,[Analysis of blood carnitine profile and SLC22A5 gene variants in 17 neonates with Primary carnitine deficiency].,"To analyze the blood free carnitine (C0) level and SLC22A5 gene variants in 17 neonates with Primary carnitine deficiency (PCD) and to determine its incidence in local area and explore the correlation between C0 level and genotype. 148 043 newborns born in 9 counties (cities and districts) of Ningde city from September 2016 to June 2021 were selected as study subjects. Blood free carnitine and acyl carnitine of 148 043 neonates were analyzed. Variants of the SLC22A5 gene were screened in those with blood C0 < 10 µmol/L, or C0 between 10 ∼ 15 µmol/L. Correlation between the free carnitine level and genetic variants was analyzed. In total 17 neonates were diagnosed with PCD, which yielded a prevalence of 1/8 707 in the region. Twelve variants of the SLC22A5 gene were identified, with the common ones including c.760C>T, c.1400C>G and c.51C>G. Compared with those carrying other variants of the gene, children carrying the c.760C>T variant had significantly lower C0 values (P < 0.01). The prevalence of PCD is relatively high in Ningde area, and intervention measures should be taken to prevent and control the disease. The c. 760C>T variant is associated with lower level of C0, which can provide a clue for the diagnosis.",10.3760/cma.j.cn511377-20220125-00065
36343260,Functional genomics of OCTN2 variants informs protein-specific variant effect predictor for Carnitine Transporter Deficiency.,"Genetic variants in SLC22A5, encoding the membrane carnitine transporter OCTN2, cause the rare metabolic disorder Carnitine Transporter Deficiency (CTD). CTD is potentially lethal but actionable if detected early, with confirmatory diagnosis involving sequencing of SLC22A5. Interpretation of missense variants of uncertain significance (VUSs) is a major challenge. In this study, we sought to characterize the largest set to date (n = 150) of OCTN2 variants identified in diverse ancestral populations, with the goals of furthering our understanding of the mechanisms leading to OCTN2 loss-of-function (LOF) and creating a protein-specific variant effect prediction model for OCTN2 function. Uptake assays with 14C-carnitine revealed that 105 variants (70%) significantly reduced transport of carnitine compared to wild-type OCTN2, and 37 variants (25%) severely reduced function to less than 20%. All ancestral populations harbored LOF variants; 62% of green fluorescent protein (GFP)-tagged variants impaired OCTN2 localization to the plasma membrane of human embryonic kidney (HEK293T) cells, and subcellular localization significantly associated with function, revealing a major LOF mechanism of interest for CTD. With these data, we trained a model to classify variants as functional (>20% function) or LOF (<20% function). Our model outperformed existing state-of-the-art methods as evaluated by multiple performance metrics, with mean area under the receiver operating characteristic curve (AUROC) of 0.895 ± 0.025. In summary, in this study we generated a rich dataset of OCTN2 variant function and localization, revealed important disease-causing mechanisms, and improved upon machine learning-based prediction of OCTN2 variant function to aid in variant interpretation in the diagnosis and treatment of CTD.",10.1073/pnas.2210247119
36331231,Cardiologic evaluation of Turkish mitochondrial fatty acid oxidation disorders.,"Mitochondrial fatty acid oxidation disorders (FAODs) cause impairment in energy metabolism and can lead to a spectrum of cardiac pathologies including cardiomyopathy and arrhythmias. The frequency of underlying cardiac pathologies and the response to recommended treatment in FAODs was investigated. Sixty-eight children (35 males, 33 females) with the diagnosis of a FAOD were included in the study. Cardiac function was evaluated with 12-lead standard electrocardiography, echocardiography, and 24 h Holter monitoring. Forty-five patients (66%) were diagnosed after disease symptoms developed and 23 patients (34%) were diagnosed in the pre-symptomatic period. Among symptomatic patients (n: 45), cardiovascular findings were detected in 18 (40%) patients, including cardiomyopathy in 14 (31.1%) and conduction abnormalities in 4 (8.8%) patients. Cardiac symptoms were more frequently detected in primary systemic carnitine deficiency (57.1%). Patients with multiple acyl-CoA dehydrogenase, long-chain 3-hydroxyacyl-CoA dehydrogenase, and mitochondrial trifunctional protein deficiencies also had an increased frequency of cardiac symptoms. Patients with medium-chain acyl-CoA dehydrogenase, very long-chain acyl-CoA dehydrogenase, and carnitine palmitoyltransferase I deficiencies had a lower prevalence of cardiac symptoms both during admission and during clinical follow up. Cardiomyopathy resolved completely in 8/14 (57%) patients and partially in 2/14 (14.3%) patients with treatment. Two patients with cardiomyopathy died in the newborn period; cardiomyopathy persisted in 1 (7.1%) patient with very long-chain acyl-CoA dehydrogenase deficiency. Early diagnosis, treatment and follow up made a significant contribution to the improvement of cardiac symptoms of patients with FAODs.",10.1111/ped.15317
36321377,Phenotypic and molecular features of Thai patients with primary carnitine deficiency.,"Primary carnitine deficiency (PCD) is screened by expanded newborn screening (NBS) using tandem mass spectrometry (MS/MS) that can detect both affected neonates and mothers. This study aimed to delineate the clinical, biochemical, and molecular findings of Thai PCD patients. Expanded NBS using MS/MS was implemented in Bangkok and 146,757 neonates were screened between 2014 and 2018. PCD was screened by low free carnitine (C0) levels in dried blood spots. Plasma C0 levels and C0 clearance values were measured in neonates and their mothers with positive screening results. Clinically diagnosed cases were described. The coding regions and intron-exon boundaries of the SLC22A5 gene were sequenced in all cases with low plasma C0 levels. There were 14 cases with confirmed PCD: two clinically diagnosed cases, and 12 cases identified through NBS including five newborns, six mothers, and one older sibling. Thus, the incidence of PCD in neonates was 1:29,351. All affected neonates and mothers were asymptomatic except one mother with dilated cardiomyopathy. SLC22A5 gene sequencing identified biallelic causative variants in all cases, comprising 10 different variants of which four were novel. c.51C > G (p.Phe17Leu) and c.760C > T (p.Arg254Ter) were the most prevalent variants in this study. Cases with significant clinical features tended to have higher C0 clearance values. Primary carnitine deficiency is a common inherited metabolic disorder (IMD) in Thailand. Our findings broaden the spectrum of SLC22A5 variants. The future national NBS program will shed more light on PCD and other IMDs in Thailand.",10.1111/ped.15404
36200720,Primary Carnitine Deficiency as a Treatable Cause of Heart Failure in Young Patients.,"Non-ischemic dilated cardiomyopathy is the most common subgroup of heart failure in young adults. Several metabolic defects could be the underlying etiology in these young heart failure patients. However, most cases are considered idiopathic. Primary carnitine deficiency is an overlooked inherited metabolic disease causing cardiomyopathy in these patients. Oral carnitine replacement therapy could prevent primary carnitine deficiency patients from progressing to advanced heart failure and life-threatening arrhythmias. In this case report, we present an index primary carnitine deficiency case and his brother's diagnosis and successful treatment period to draw attention to primary carnitine deficiency as a treatable cause of heart failure in young adults.",10.5543/tkda.2022.21319
35909316,"Carnitine deficiency, hearing loss and hydrochlorothiazide-induced diabetes mellitus associated with the recurrent p.Trp85Arg variant in HNF4A.","Carnitine deficiency, hearing loss and hydrochlorothiazide-induced diabetes mellitus associated with the recurrent p.Trp85Arg variant in HNF4A.",10.1002/ajmg.a.62927
35853679,Rare case of primary carnitine deficiency presenting as acute liver failure.,"Systemic primary carnitine deficiency (PCD) is an autosomal recessive disorder caused by mutations in the SLC22A5 gene that encodes carnitine transporter, OCTN2. Transporter deficiency leads to defective fatty acid oxidation. Signs and symptoms ranging from liver injury in children to cardiomyopathy and skeletal myopathy in adults, manifest during periods of stress and fasting. Though acute liver failure is infrequently described, young children presenting as acute liver failure should be screened for fatty acid oxidation defects including PCD by testing plasma for amino acids and further confirmed by genetic sequencing. Early identification and treatment using L-carnitine is lifesaving. Our patient presented as acute liver failure and diagnosis of PCD was confirmed by metabolic screening and genetic sequencing. He responded to the treatment.",10.1136/bcr-2021-247225
35820418,Systemic Primary Carnitine Deficiency: A Case Report with Homozygoys SLC22A5 Gene Mutation.,Systemic Primary Carnitine Deficiency: A Case Report with Homozygoys SLC22A5 Gene Mutation.,10.1055/a-1730-5472
35788046,Lenvatinib causes reduced expression of carnitine/organic cation transporter 2 and carnitine deficiency in the skeletal muscle of rats.,"Lenvatinib, an oral tyrosine kinase inhibitor, is widely used to treat several types of advanced cancers but often causes muscular adverse reactions. Although carnitine supplementation may prevent these effects, the mechanism underlying lenvatinib-induced skeletal muscle impairment remains poorly understood. To this end, we aimed to investigate the impact of lenvatinib on carnitine disposition in rats. Once-daily administration of lenvatinib repeated for two weeks did not affect urinary excretion or serum concentration of carnitines throughout the treatment period but ultimately decreased the L-carnitine content in the skeletal muscle. The treatment decreased the expression of carnitine/organic cation transporter (OCTN) 2, a key transporter of carnitine, in skeletal muscle at the protein level but not at the mRNA level. In cultured C2C12 myocytes, lenvatinib inhibited OCTN2 expression in a dose-dependent manner at the protein level. Furthermore, lenvatinib dose-dependently decreased the protein levels of carnitine-related genes, adenosine triphosphate content, mitochondrial membrane potential, and markers of mitochondrial function in vitro. These results reveal the deleterious effects of lenvatinib on OCTN2 expression, carnitine content, and mitochondrial function in skeletal muscle that may be associated with muscle toxicity.",10.1016/j.toxlet.2022.06.012
35527759,Left ventricular noncompaction in primary systemic carnitine deficiency: A rare association.,Left ventricular noncompaction (LVNC) is a rare phenotype of dilated cardiomyopathy. We report a child with primary systemic carnitine deficiency having associated LVNC.,10.4103/apc.APC_152_20
35281663,Diagnosis of inborn errors of metabolism within the expanded newborn screening in the Madrid region.,"We present the results of our experience in the diagnosis of inborn errors of metabolism (IEM) since the Expanded Newborn Screening was implemented in our Region. Dried blood samples were collected 48 h after birth. Amino acids and acylcarnitines were quantitated by mass spectrometry (MS)/MS. Newborns with alterations were referred to the clinical centers for follow-up. Biochemical and molecular genetic studies for confirmation of a disease were performed. In the period 2011 to 2019, 592 822 children were screened: 902 of them were referred for abnormal results. An IEM was confirmed in 222 (1/2670): aminoacidopathies: 89 hyperphenylalaninemia (HPA) (51 benign HPA, 32 phenylketonuria, 4 DNAJC12 defect, and 2 primapterinuria), 6 hypermethioninemia, 3 tyrosinemia type 1 (TYR-1), 1 TYR-3, 4 maple syrup urine disease (MSUD), 2 branched-chain amino acid transferase 2 deficiency, 2 homocystinuria, 1 cystinuria, 2 ornithine transcarbamylase (OTC) deficiency, 2 citrullinemia type I (CTLN1); FAO defects: 43 medium-chain acyl-CoA dehydrogenase deficiency (MCADD), 13 very long-chain acyl-CoA dehydrogenase deficiency, 2 long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency (LCHADD), 1 multiple acyl-coA dehydrogenation deficiency, 11 systemic primary carnitine deficiency, 2 carnitine palmitoyltransferase type 2 (CPT-II) deficiency, 1 CPT-I deficiency; organic acidurias: 12 glutaric aciduria type 1 (GA-1), 4 methylmalonic acidemia (MMA), 7 MMA including combined cases with homocystinuria (MMAHC), 6 propionic acidemia (PA), 7 3-methylcrotonyl-CoA carboxylase, 1 3-hydroxy-3-methylglutaryl-CoA lyase deficiency lyase deficiency. Only 19 infants (8.5%) were symptomatic at newborn screening result (1 LCHADD, 5 PA, 1 CPT-II deficiency, 1 MMA, 3 MMAHC, 2 MSUD, 2 OTC deficiency, 1 CTLN1, 1 MCADD, 2 TYR-1). No false negative cases were identified. Genetic diagnosis was conclusive in all biochemically confirmed cases, except for two infants with HPA, identifying pathogenic variants in 32 different genes. The conditions with the highest incidence were HPA (1/6661) and MCAD deficiencies (1/13 787).",10.1002/jmd2.12265
